162,31,83,2019-12-27--2020-01-03,Lucid Dreams,5477563,Juice WRLD,19085118,285pBltuF7vW8TeWk8hdRR,2018-12-10,85
163,4,24,2021-02-12--2021-02-19,Calling My Phone,5467753,"Lil Tjay, 6LACK",3553442,3J8EOeKLTLXORtWPpOU5bE,2021-04-02,85
164,5,39,2020-10-30--2020-11-06,34+35,5453159,Ariana Grande, , , , 
165,13,83,2020-01-24--2020-01-31,bad guy,5436286,Billie Eilish,1250353,1hewNsVmijBqjKvFRQfk4m,2021-08-13,0
166,59,18,2021-05-07--2021-05-14,Cover Me In Sunshine,5434073,"P!nk, Willow Sage Hart",11477164,6Tio0ZoDeSQnI7EBAqWer2,2021-02-12,83
167,7,56,2020-10-02--2020-10-09,For The Night (feat. Lil Baby & DaBaby),5431375,Pop Smoke,6837946,0PvFJmanyNQMseIFrU708S,2020-07-03,84
168,13,10,2021-05-21--2021-05-28,"1 step forward, 3 steps back",5420003,Olivia Rodrigo,6266514,4wcBRRpIfesgcyUtis7PEg,2021-05-21,85
169,1,51,2020-09-11--2020-09-18,WAP (feat. Megan Thee Stallion),5386268,Cardi B,17353707,4Oun2ylbjFKMPTiaSbbCih,2020-08-07,84
170,155,22,2021-07-02--2021-07-09,Mr. Brightside,5382191,The Killers,6118063,7oK9VyNzrYvRFo7nQEYkWN,2004-06-15,75
171,144,27,2021-04-02--2021-04-09,Every Breath You Take,5379704,The Police,4339245,1JSTJqkT5qHq8MDJnJbRE1,1983-06-17,83
172,20,44,2020-10-09--2020-10-16,Dreams - 2004 Remaster,5378971,Fleetwood Mac,6930669,0ofHAoxe9vBkTCp2UQIavz,1977-02-04,84
173,94,82,2021-02-12--2021-02-19,Say You Won't Let Go,5375426,James Arthur,8441598,5uCax9HTNlzGybIStD3vDh,2016-10-28,84
174,110,2,2021-07-16--2021-07-23,Wild Side (feat. Cardi B),5366242,Normani,1304510,2vXgyN14LX2zl7JEASw242,2021-07-22,75
175,65,2,2021-07-16--2021-07-23,Bout A Million (feat. 42 Dugg & 21 Savage),5315734,Pop Smoke,6837946,4LaGu95Ui2s4vprSQYWUAZ,2021-07-16,81
176,72,2,2021-07-16--2021-07-23,Demeanor (feat. Dua Lipa),5245618,Pop Smoke,6837946,3DMs7bahbQTnoxCjgP7qoK,2021-07-16,81
177,4,76,2020-06-19--2020-06-26,death bed (coffee for your head),5238547,"Powfu, beabadoobee",924083,7eJMfftS33KTjuF7lTsMCx,2020-02-08,85
178,100,9,2021-05-21--2021-05-28,Our Song,5235335,"Anne-Marie, Niall Horan",8148393,5zqObw7wjBgL9TDiAymxPn,2021-05-21,83
179,138,22,2021-04-02--2021-04-09,Another One Bites The Dust - Remastered 2011,5204983,Queen,35888760,57JVGBtBLCfHw2muk5416J,1980-06-27,74
180,149,14,2021-05-28--2021-06-04,One Dance,5178490,"Drake, WizKid, Kyla",56308172,1zi7xx7UVEFkmKfv06H8x0,2016-05-06,84
